Generation,Run_ID,Final_Fitness,Evac_Score,Cost_Score,Solution_Widths
2,59,1741.9244179470052,1412.1534179470052,3297.71,"[0.0, 4.0, 4.0, 2.0, 0.0, 4.0, 0.0, 2.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.0, 4.0]"
2,60,1643.159764845221,1357.554764845221,2856.05,"[0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 2.0, 4.0, 0.0, 2.0, 4.0, 0.0]"
2,61,1756.5846888232202,1361.12868882322,3954.560000000001,"[4.0, 2.0, 0.0, 2.0, 2.0, 4.0, 4.0, 4.0, 0.0, 2.0, 0.0, 0.0, 4.0, 2.0, 2.0]"
2,62,1616.102431912524,1457.542431912524,1585.6000000000001,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0]"
2,63,1722.630752909507,1352.9437529095069,3696.870000000001,"[4.0, 2.0, 4.0, 4.0, 2.0, 2.0, 0.0, 0.0, 2.0, 2.0, 4.0, 2.0, 0.0, 2.0, 0.0]"
2,64,1640.3596796509628,1343.5106796509629,2968.4900000000002,"[0.0, 4.0, 2.0, 4.0, 2.0, 0.0, 0.0, 4.0, 2.0, 2.0, 0.0, 0.0, 4.0, 0.0, 2.0]"
2,65,1561.5101057842205,1358.1751057842205,2033.3500000000001,"[2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 4.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 2.0, 2.0]"
2,66,1806.661128639942,1331.1791286399418,4754.820000000001,"[4.0, 2.0, 4.0, 4.0, 2.0, 2.0, 0.0, 4.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 4.0]"
2,67,1735.9574802881891,1301.2644802881891,4346.93,"[4.0, 2.0, 4.0, 4.0, 2.0, 0.0, 2.0, 4.0, 0.0, 2.0, 4.0, 2.0, 4.0, 2.0, 0.0]"
2,68,1615.7051247317922,1296.1191247317922,3195.8600000000006,"[2.0, 4.0, 4.0, 0.0, 2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 4.0, 2.0, 0.0]"
