ID,time,distance,start_x,start_y,end_x,end_y,state
377,212.704,142.052,291.544,305.322,249.605,185.211,0
378,343.312,233.259,290.835,391.057,250.065,185.016,0
379,18.2,21.3306,257.076,205.006,249.924,185.134,0
380,106.299,132.589,345.208,694.134,312.288,818.058,0
381,889.93,413.364,333.48,505.386,150.33,706.152,0
382,116.399,132.572,347.163,695.26,312.733,817.951,0
383,174.501,179.968,522.406,229.307,647.661,191.843,0
384,238.605,148.772,472.295,602.965,613.287,612.461,0
385,271.707,249.081,374.459,606.43,312.643,817.998,0
386,45.3999,38.0919,225.574,209.263,248.508,184.826,0
387,131.599,151.371,345.878,677.122,313.085,818.066,0
388,31.9001,32.4355,283.46,191.851,253.478,182.711,0
389,308.41,306.868,341.456,537.546,312.442,818.112,0
390,0,0,609.187,816.574,609.187,816.574,0
391,496.521,333.386,426.861,541.729,613.191,612.657,0
392,175.101,128.374,454.505,151.05,356.223,173.311,0
393,254.106,192.894,210.7,572.901,150.316,706.067,0
394,121.899,90.6226,546.808,334.296,630.349,333.871,0
395,23.6001,22.8755,405.308,101.405,405.552,78.0974,0
396,213.804,145.064,472.498,157.543,356.249,173.304,0
397,383.014,234.327,458.292,338.615,356.026,173.798,0
398,179.602,188.695,406.48,689.701,313.446,818.276,0
399,344.712,252.145,452.699,416.729,615.55,539.63,0
400,239.405,156.298,279.426,326.514,250.5,184.847,0
401,83.4993,75.4499,200.592,673.589,150.648,706.154,0
402,82.4993,67.0273,587.502,133.425,653.629,130.375,0
403,38.7,38.6369,143.924,668.868,150.253,706.162,0
404,76.8994,53.8736,589.116,649.251,613.248,612.95,0
405,433.817,291.8,271.338,454.572,67.4372,404.203,0
406,330.711,240.166,455.51,435.42,615.512,539.932,0
407,8.3,8.9017,607.299,745.489,612.126,752.653,0
408,264.207,171.355,227.317,332.953,249.706,185.229,0
409,298.009,213.06,197.954,488.244,67.4476,406.21,0
410,369.313,155.025,162.542,454.074,67.5917,405.709,0
411,53.9997,52.4009,599.377,703.274,612.417,751.909,0
412,201.203,121.802,220.014,300.951,248.25,184.815,0
413,109.099,85.7287,152.201,398.423,67.7084,404.921,0
414,76.2994,66.4351,411.668,150.975,356.219,173.347,0
415,31.3001,39.2482,261.372,222.162,250.728,184.771,0
416,246.206,144.643,483.533,188.468,356.097,173.527,0
417,51.3998,40.4056,576.999,597.419,613.364,612.226,0
418,50.2998,67.3505,214.437,725.404,151.646,706.623,0
419,12.6,14.189,601.319,607.58,613.151,612.968,0
420,117.699,100.495,196.66,640.212,150.545,706.192,0
421,331.811,210.809,479.329,318.445,630.34,334.141,0
422,0,0,648.551,192.986,648.551,192.986,0
423,219.704,142.908,559.229,555.866,613.301,612.52,0
424,168.201,124.4,133.964,587.209,150.435,706.08,0
