ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
20893,192.003,60.6463,408.351,185.638,355.19,174.489,0,37.9039,154.099,5.06551
20894,308.61,123.435,172.572,503.431,141.17,611.615,0,77.1468,231.463,4.00029
20895,60.5996,37.1477,158.529,591.714,144.732,615.572,0,23.2173,37.3823,2.61011
20896,334.511,125.746,266.545,634.684,144.442,617.141,0,78.591,255.92,4.25635
20897,952.015,227.335,475.358,438.602,615.517,540.212,0,142.084,809.93,6.70034
20898,1105.68,177.798,498.774,180.025,355.539,174.392,0,111.124,994.553,9.94995
20899,169.901,61.0794,326.973,214.847,351.109,175.339,0,38.1746,131.727,4.45063
20900,783.556,252.857,306.386,381.753,250.51,184.803,0,158.036,625.52,4.9581
20901,16.7,9.80532,314.391,808.142,313.1,818.102,0,6.12832,10.5717,2.72506
20902,388.815,193.88,530.326,243.532,648.355,198.144,0,121.175,267.639,3.20869
20903,625.494,203.021,328.905,345.191,253.3,183.145,0,126.888,498.606,4.92949
20904,390.215,142.626,285.731,637.13,144.344,617.265,0,89.1411,301.074,4.37749
20905,332.311,172.944,485.486,116.885,654.07,128.498,0,108.09,224.221,3.07438
20906,443.418,148.475,134.369,494.129,139.71,611.062,0,92.7971,350.621,4.77836
20907,320.21,154.275,312.482,691.739,312.757,817.97,0,96.4216,223.789,3.32094
20908,45.0999,21.6683,151.722,672.025,149.663,693.175,0,13.5427,31.5572,3.33021
20909,256.506,43.9195,226.182,215.664,249.05,185.067,0,27.4497,229.057,9.34461
20910,351.212,160.801,518.12,139.338,654.292,132.06,0,100.5,250.712,3.49463
20911,738.367,188.992,215.611,234.881,247.834,184.485,0,118.12,620.247,6.25098
20912,202.203,103.482,553.519,666.013,613.365,613.42,0,64.6763,137.527,3.12639
20913,60.8996,33.653,618.212,201.399,647.227,195.932,0,21.0331,39.8665,2.89542
20914,802.551,280.276,284.346,511.336,139.916,611.111,0,175.173,627.379,4.58149
20915,522.22,170.799,217.014,506.088,141.536,611.825,0,106.749,415.47,4.89202
20916,416.416,207.325,413.154,671.934,313.639,818.378,0,129.578,286.838,3.21363
20917,241.306,95.1187,188.222,564.754,141.754,611.831,0,59.4492,181.856,4.05902
20918,1091.08,176.908,502.281,192.013,356.283,173.15,0,110.567,980.513,9.86802
20919,74.4994,35.3968,618.145,349.68,630.608,334.936,0,22.123,52.3764,3.36751
20920,1417.7,204.608,476.415,483.849,485.436,463.299,1,127.88,1289.82,11.0862
20921,653.487,146.532,421.633,260.179,355.327,174.524,0,91.5828,561.905,7.13548
20922,168.601,115.428,355.292,713.755,315.717,819.186,0,72.1426,96.4585,2.33705
20923,111.599,75.6944,196.925,641.8,143.841,618.231,0,47.309,64.2899,2.35894
20924,282.608,149.526,556.016,270.453,648.4,198.133,0,93.454,189.154,3.02403
20925,1051.69,237.436,487.134,436.909,615.503,539.771,0,148.397,903.293,7.08699
